epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3154.77,1.38405,2.13664,1.41352,0.69932,0.64495,0.60884,0.39965,1.21471,1.85932,1.38396,0.00333267,0.00333267,0.00333267
2,5505.72,1.27697,1.4401,1.34133,0.68298,0.66332,0.62718,0.43618,1.19485,1.83164,1.32787,0.00660001,0.00660001,0.00660001
3,7247.06,1.32513,1.35879,1.35405,0.54979,0.60599,0.49002,0.30385,1.32831,2.47298,1.40301,0.00980135,0.00980135,0.00980135
4,8766.72,1.33998,1.27361,1.37881,0.71081,0.64176,0.56779,0.38595,1.27686,2.16352,1.37959,0.009703,0.009703,0.009703
5,10040.5,1.29834,1.16297,1.35698,0.77391,0.63174,0.61091,0.43808,1.21307,1.92321,1.36635,0.009604,0.009604,0.009604
6,11215.6,1.25333,1.0782,1.32819,0.72026,0.67208,0.61688,0.43723,1.16719,1.9794,1.32038,0.009505,0.009505,0.009505
7,12367.9,1.23183,1.0427,1.31805,0.77846,0.64559,0.64736,0.47815,1.15392,2.04938,1.3022,0.009406,0.009406,0.009406
8,13551.2,1.21416,0.99765,1.30659,0.71494,0.67124,0.62956,0.44617,1.16907,2.00074,1.31001,0.009307,0.009307,0.009307
9,14737.5,1.19539,0.95385,1.29574,0.7759,0.65254,0.61507,0.43984,1.17409,1.94293,1.28952,0.009208,0.009208,0.009208
10,15933.9,1.16339,0.92611,1.28011,0.73406,0.67896,0.67311,0.49986,1.07888,1.92754,1.25658,0.009109,0.009109,0.009109
11,17119.5,1.16219,0.92871,1.28636,0.7218,0.67588,0.67468,0.50922,1.08299,1.91765,1.31953,0.00901,0.00901,0.00901
12,18345.3,1.14745,0.89088,1.27162,0.77472,0.65504,0.63694,0.46971,1.10742,1.99334,1.31082,0.008911,0.008911,0.008911
13,19634.9,1.12299,0.84624,1.26095,0.77952,0.66489,0.67026,0.51733,1.029,1.91511,1.26884,0.008812,0.008812,0.008812
14,20921.5,1.12446,0.8482,1.26069,0.7303,0.68466,0.67658,0.51415,1.0562,1.95909,1.25357,0.008713,0.008713,0.008713
15,22131.3,1.10533,0.83193,1.24451,0.71634,0.6802,0.66361,0.5112,1.02036,1.80361,1.25914,0.008614,0.008614,0.008614
